dataset,encoder_name,match_score,recall,precision,f1
Amphibian,openai__,0.9,0.2876830318690784,0.9940476190476191,0.44622578490313963
Amphibian,openai__,0.8,0.4909560723514212,0.9777015437392796,0.6536697247706422
Amphibian,openai__,0.7,0.5297157622739018,0.831081081081081,0.6470278800631246
Amphibian,openai__,0.6,0.5736434108527132,0.604355716878403,0.5885992045956695
Amphibian,openai__,0.5,0.5831180017226529,0.5831180017226529,0.5831180017226529
Amphibian,openai__,0.4,0.5831180017226529,0.5831180017226529,0.5831180017226529
Amphibian,openai__,0.3,0.5831180017226529,0.5831180017226529,0.5831180017226529
Amphibian,lm__BAAI/bge-large-en-v1.5,0.9,0.4797588285960379,0.9875886524822695,0.6457971014492754
Amphibian,lm__BAAI/bge-large-en-v1.5,0.8,0.49956933677863913,0.9830508474576272,0.6624785836664764
Amphibian,lm__BAAI/bge-large-en-v1.5,0.7,0.5271317829457365,0.9134328358208955,0.6684871654833425
Amphibian,lm__BAAI/bge-large-en-v1.5,0.6,0.6313522825150732,0.7179236043095005,0.6718606782768103
Amphibian,lm__BAAI/bge-large-en-v1.5,0.5,0.6391042204995694,0.6391042204995694,0.6391042204995694
Amphibian,lm__BAAI/bge-large-en-v1.5,0.4,0.6391042204995694,0.6391042204995694,0.6391042204995694
Amphibian,lm__BAAI/bge-large-en-v1.5,0.3,0.6391042204995694,0.6391042204995694,0.6391042204995694
Amphibian,lm__llmrails/ember-v1,0.9,0.4797588285960379,0.9875886524822695,0.6457971014492754
Amphibian,lm__llmrails/ember-v1,0.8,0.49870801033591733,0.9830220713073005,0.6617142857142858
Amphibian,lm__llmrails/ember-v1,0.7,0.524547803617571,0.9213313161875946,0.6684961580680572
Amphibian,lm__llmrails/ember-v1,0.6,0.6184323858742463,0.7137176938369781,0.6626672819566221
Amphibian,lm__llmrails/ember-v1,0.5,0.6382428940568475,0.6382428940568475,0.6382428940568475
Amphibian,lm__llmrails/ember-v1,0.4,0.6382428940568475,0.6382428940568475,0.6382428940568475
Amphibian,lm__llmrails/ember-v1,0.3,0.6382428940568475,0.6382428940568475,0.6382428940568475
Amphibian,none,0.9,0.4771748492678725,0.9875222816399287,0.6434378629500581
Amphibian,none,0.8,0.5047372954349698,0.981574539363484,0.6666666666666666
Amphibian,none,0.7,0.540913006029285,0.9181286549707602,0.6807588075880758
Amphibian,none,0.6,0.6210163652024118,0.7581493165089379,0.6827651515151516
Amphibian,none,0.5,0.6339362618432386,0.6339362618432386,0.6339362618432386
Amphibian,none,0.4,0.6339362618432386,0.6339362618432386,0.6339362618432386
Amphibian,none,0.3,0.6339362618432386,0.6339362618432386,0.6339362618432386
ArtificialSatellite,openai__,0.9,0.013888888888888888,1.0,0.0273972602739726
ArtificialSatellite,openai__,0.8,0.08333333333333333,0.75,0.15
ArtificialSatellite,openai__,0.7,0.5277777777777778,0.8085106382978723,0.638655462184874
ArtificialSatellite,openai__,0.6,0.625,0.7627118644067796,0.6870229007633587
ArtificialSatellite,openai__,0.5,0.6527777777777778,0.6527777777777778,0.6527777777777778
ArtificialSatellite,openai__,0.4,0.6527777777777778,0.6527777777777778,0.6527777777777778
ArtificialSatellite,openai__,0.3,0.6527777777777778,0.6527777777777778,0.6527777777777778
ArtificialSatellite,lm__BAAI/bge-large-en-v1.5,0.9,0.05555555555555555,0.8,0.10389610389610389
ArtificialSatellite,lm__BAAI/bge-large-en-v1.5,0.8,0.1527777777777778,0.9166666666666666,0.2619047619047619
ArtificialSatellite,lm__BAAI/bge-large-en-v1.5,0.7,0.4861111111111111,0.875,0.625
ArtificialSatellite,lm__BAAI/bge-large-en-v1.5,0.6,0.5972222222222222,0.7288135593220338,0.6564885496183206
ArtificialSatellite,lm__BAAI/bge-large-en-v1.5,0.5,0.6111111111111112,0.6111111111111112,0.6111111111111112
