encoding;features;model;dim_reduction;gain_percent;rank;Number of Parameters;prefix;name_without_prefix;version;family
jinaai/jina-embedding-s-en-v1;all;GradientBoostingClassifier;PCA_30;1.0214060693292815;34.857142857142854;35330816.0;Unknown;jinaai/jina-embedding-s-en-v1;-v1;Jina-v1
llmrails/ember-v1;all;GradientBoostingClassifier;PCA_30;2.808453089289851;22.0;335141888.0;Unknown;llmrails/ember-v1;-v1;Ember-v1
msmarco-bert-co-condensor;all;GradientBoostingClassifier;PCA_30;2.286263095834187;22.928571428571427;109482240.0;Unknown;msmarco-bert-co-condensor;;Unknown
nthakur/contriever-base-msmarco;all;GradientBoostingClassifier;PCA_30;1.9620436885274877;29.357142857142858;109482240.0;Unknown;nthakur/contriever-base-msmarco;;Unknown
paraphrase-multilingual-MiniLM-L12-v2;all;GradientBoostingClassifier;PCA_30;0.46129572070869557;42.642857142857146;117653760.0;Unknown;paraphrase-multilingual-MiniLM-L12-v2;-v2;Unknown-v2
paraphrase-multilingual-mpnet-base-v2;all;GradientBoostingClassifier;PCA_30;0.8035449171181088;39.42857142857143;278043648.0;Unknown;paraphrase-multilingual-mpnet-base-v2;-v2;Unknown-v2
sentence-t5-base;all;GradientBoostingClassifier;PCA_30;1.8951957320691462;29.214285714285715;109628544.0;sentence-t5;base;;sentence-t5
sentence-t5-large;all;GradientBoostingClassifier;PCA_30;2.662108490533682;23.714285714285715;334939648.0;sentence-t5;large;;sentence-t5
sentence-t5-xl;all;GradientBoostingClassifier;PCA_30;3.0041987635252783;19.142857142857142;1240909824;Unknown;Unknown;Unknown;sentence-t5
sentence-t5-xxl;all;GradientBoostingClassifier;PCA_30;3.3094601101667065;17.285714285714285;4864791552;Unknown;Unknown;Unknown;sentence-t5
thenlper/gte-base;all;GradientBoostingClassifier;PCA_30;2.2770879997116427;25.785714285714285;109482240.0;thenlper/gte;base;;thenlper/gte
thenlper/gte-large;all;GradientBoostingClassifier;PCA_30;2.7356275202898908;20.0;335141888.0;thenlper/gte;large;;thenlper/gte
thenlper/gte-small;all;GradientBoostingClassifier;PCA_30;2.2543830915400966;23.571428571428573;33360000.0;thenlper/gte;small;;thenlper/gte
openai__;all;GradientBoostingClassifier;PCA_30;2.8648985837595893;19.785714285714285;Unknown;Unknown;Unknown;Unknown;Unknown
skrub__minhash_30;all;GradientBoostingClassifier;passthrough;0.0;44.57142857142857;Unknown;Unknown;Unknown;Unknown;Unknown
