dataset,encoder_name,match_score,recall,precision,f1
Amphibian,lm__intfloat/multilingual-e5-large,0.9,0.19121447028423771,0.9866666666666667,0.3203463203463204
Amphibian,lm__intfloat/multilingual-e5-large,0.8,0.49612403100775193,0.9829351535836177,0.6594161419576416
Amphibian,lm__intfloat/multilingual-e5-large,0.7,0.524547803617571,0.8529411764705882,0.6496000000000001
Amphibian,lm__intfloat/multilingual-e5-large,0.6,0.5753660637381568,0.6491739552964043,0.6100456621004566
Amphibian,lm__intfloat/multilingual-e5-large,0.5,0.5848406546080964,0.5848406546080964,0.5848406546080964
Amphibian,lm__intfloat/multilingual-e5-large,0.4,0.5848406546080964,0.5848406546080964,0.5848406546080964
Amphibian,lm__intfloat/multilingual-e5-large,0.3,0.5848406546080964,0.5848406546080964,0.5848406546080964
Amphibian,lm__thenlper/gte-small,0.9,0.4806201550387597,0.9876106194690265,0.6465816917728853
Amphibian,lm__thenlper/gte-small,0.8,0.49698535745047373,0.9812925170068028,0.6598056032018297
Amphibian,lm__thenlper/gte-small,0.7,0.512489233419466,0.8880597014925373,0.6499180775532496
Amphibian,lm__thenlper/gte-small,0.6,0.602928509905254,0.7035175879396985,0.6493506493506493
Amphibian,lm__thenlper/gte-small,0.5,0.6236003445305771,0.6236003445305771,0.6236003445305771
Amphibian,lm__thenlper/gte-small,0.4,0.6236003445305771,0.6236003445305771,0.6236003445305771
Amphibian,lm__thenlper/gte-small,0.3,0.6236003445305771,0.6236003445305771,0.6236003445305771
Amphibian,lm__intfloat/multilingual-e5-base,0.9,0.041343669250646,0.9795918367346939,0.07933884297520662
Amphibian,lm__intfloat/multilingual-e5-base,0.8,0.4754521963824289,0.9822064056939501,0.640742890307603
Amphibian,lm__intfloat/multilingual-e5-base,0.7,0.5219638242894057,0.8487394957983193,0.6464
Amphibian,lm__intfloat/multilingual-e5-base,0.6,0.5572782084409992,0.6548582995951417,0.6021405304792928
Amphibian,lm__intfloat/multilingual-e5-base,0.5,0.5805340223944875,0.5805340223944875,0.5805340223944875
Amphibian,lm__intfloat/multilingual-e5-base,0.4,0.5805340223944875,0.5805340223944875,0.5805340223944875
Amphibian,lm__intfloat/multilingual-e5-base,0.3,0.5805340223944875,0.5805340223944875,0.5805340223944875
Amphibian,lm__jinaai/jina-embedding-l-en-v1,0.9,0.2566752799310939,0.9900332225913622,0.40766073871409036
Amphibian,lm__jinaai/jina-embedding-l-en-v1,0.8,0.4177433247200689,0.9326923076923077,0.5770374776918501
Amphibian,lm__jinaai/jina-embedding-l-en-v1,0.7,0.533161068044789,0.6098522167487684,0.5689338235294118
Amphibian,lm__jinaai/jina-embedding-l-en-v1,0.6,0.537467700258398,0.5407279029462738,0.5390928725701943
Amphibian,lm__jinaai/jina-embedding-l-en-v1,0.5,0.537467700258398,0.537467700258398,0.537467700258398
Amphibian,lm__jinaai/jina-embedding-l-en-v1,0.4,0.537467700258398,0.537467700258398,0.537467700258398
Amphibian,lm__jinaai/jina-embedding-l-en-v1,0.3,0.537467700258398,0.537467700258398,0.537467700258398
Amphibian,lm__jinaai/jina-embedding-b-en-v1,0.9,0.2222222222222222,0.9885057471264368,0.3628691983122363
Amphibian,lm__jinaai/jina-embedding-b-en-v1,0.8,0.38845822566752797,0.770940170940171,0.5166093928980526
Amphibian,lm__jinaai/jina-embedding-b-en-v1,0.7,0.5219638242894057,0.5754985754985755,0.5474254742547426
Amphibian,lm__jinaai/jina-embedding-b-en-v1,0.6,0.533161068044789,0.5350043215211755,0.5340811044003453
Amphibian,lm__jinaai/jina-embedding-b-en-v1,0.5,0.533161068044789,0.533161068044789,0.533161068044789
Amphibian,lm__jinaai/jina-embedding-b-en-v1,0.4,0.533161068044789,0.533161068044789,0.533161068044789
Amphibian,lm__jinaai/jina-embedding-b-en-v1,0.3,0.533161068044789,0.533161068044789,0.533161068044789
Amphibian,lm__gtr-t5-base,0.9,0.2454780361757106,0.9827586206896551,0.3928325292901447
Amphibian,lm__gtr-t5-base,0.8,0.4625322997416021,0.9817184643510055,0.6288056206088993
Amphibian,lm__gtr-t5-base,0.7,0.5236864771748493,0.8914956011730205,0.6597938144329898
Amphibian,lm__gtr-t5-base,0.6,0.5572782084409992,0.615604186489058,0.58499095840868
Amphibian,lm__gtr-t5-base,0.5,0.5684754521963824,0.5684754521963824,0.5684754521963824
Amphibian,lm__gtr-t5-base,0.4,0.5684754521963824,0.5684754521963824,0.5684754521963824
Amphibian,lm__gtr-t5-base,0.3,0.5684754521963824,0.5684754521963824,0.5684754521963824
Amphibian,lm__nthakur/contriever-base-msmarco,0.9,0.48148148148148145,0.9876325088339223,0.6473653734800231
Amphibian,lm__nthakur/contriever-base-msmarco,0.8,0.49440137812230833,0.9582637729549248,0.6522727272727272
Amphibian,lm__nthakur/contriever-base-msmarco,0.7,0.5116279069767442,0.7481108312342569,0.6076726342710997
Amphibian,lm__nthakur/contriever-base-msmarco,0.6,0.5917312661498708,0.6166965888689407,0.6039560439560439
Amphibian,lm__nthakur/contriever-base-msmarco,0.5,0.5934539190353144,0.5934539190353144,0.5934539190353144
Amphibian,lm__nthakur/contriever-base-msmarco,0.4,0.5934539190353144,0.5934539190353144,0.5934539190353144
Amphibian,lm__nthakur/contriever-base-msmarco,0.3,0.5934539190353144,0.5934539190353144,0.5934539190353144
Amphibian,lm__TaylorAI/bge-micro,0.9,0.4806201550387597,0.9876106194690265,0.6465816917728853
Amphibian,lm__TaylorAI/bge-micro,0.8,0.4909560723514212,0.967741935483871,0.6514285714285714
