dataset,encoder_name,match_score,recall,precision,f1
Amphibian,lm__BAAI/bge-large-en-v1.5,0.9,0.4797588285960379,0.9875886524822695,0.6457971014492754
Amphibian,lm__BAAI/bge-large-en-v1.5,0.8,0.49956933677863913,0.9830508474576272,0.6624785836664764
Amphibian,lm__BAAI/bge-large-en-v1.5,0.7,0.5271317829457365,0.9134328358208955,0.6684871654833425
Amphibian,lm__BAAI/bge-large-en-v1.5,0.6,0.6313522825150732,0.7179236043095005,0.6718606782768103
Amphibian,lm__BAAI/bge-large-en-v1.5,0.5,0.6391042204995694,0.6391042204995694,0.6391042204995694
Amphibian,lm__BAAI/bge-large-en-v1.5,0.4,0.6391042204995694,0.6391042204995694,0.6391042204995694
Amphibian,lm__BAAI/bge-large-en-v1.5,0.3,0.6391042204995694,0.6391042204995694,0.6391042204995694
Amphibian,lm__BAAI/bge-base-en-v1.5,0.9,0.4797588285960379,0.9875886524822695,0.6457971014492754
Amphibian,lm__BAAI/bge-base-en-v1.5,0.8,0.49956933677863913,0.9813874788494078,0.6621004566210047
Amphibian,lm__BAAI/bge-base-en-v1.5,0.7,0.5219638242894057,0.905829596412556,0.6622950819672131
Amphibian,lm__BAAI/bge-base-en-v1.5,0.6,0.6080964685615848,0.7095477386934673,0.6549165120593691
Amphibian,lm__BAAI/bge-base-en-v1.5,0.5,0.6244616709732989,0.6244616709732989,0.6244616709732989
Amphibian,lm__BAAI/bge-base-en-v1.5,0.4,0.6244616709732989,0.6244616709732989,0.6244616709732989
Amphibian,lm__BAAI/bge-base-en-v1.5,0.3,0.6244616709732989,0.6244616709732989,0.6244616709732989
Amphibian,lm__llmrails/ember-v1,0.9,0.4797588285960379,0.9875886524822695,0.6457971014492754
Amphibian,lm__llmrails/ember-v1,0.8,0.49870801033591733,0.9830220713073005,0.6617142857142858
Amphibian,lm__llmrails/ember-v1,0.7,0.524547803617571,0.9213313161875946,0.6684961580680572
Amphibian,lm__llmrails/ember-v1,0.6,0.6184323858742463,0.7137176938369781,0.6626672819566221
Amphibian,lm__llmrails/ember-v1,0.5,0.6382428940568475,0.6382428940568475,0.6382428940568475
Amphibian,lm__llmrails/ember-v1,0.4,0.6382428940568475,0.6382428940568475,0.6382428940568475
Amphibian,lm__llmrails/ember-v1,0.3,0.6382428940568475,0.6382428940568475,0.6382428940568475
Amphibian,lm__thenlper/gte-large,0.9,0.4806201550387597,0.9876106194690265,0.6465816917728853
